"municipality","state","latitude","longitude"
"ALMIRANTE TAMANDARE","PR","-25.32","-49.31"
"ALOANDIA","GO","-17.72","-49.48"
"ALPERCATA","MG","-18.97","-41.97"
"ALPESTRE","RS","-27.24","-53.03"
"ALPINOPOLIS","MG","-20.86","-46.38"
"ALTA FLORESTA","MT","-9.8699999999999992","-56.08"
"ALTA FLORESTA D'OESTE","RO","-11.94","-61.9"
"ALTAIR","SP","-20.52","-49.05"
"ALTAMIRA","PA","-3.2","-52.2"
"ALTAMIRA DO MARANHAO","MA","-4.16","-45.47"
"ALTAMIRA DO PARANA","PR","-24.79","-52.71"
"ALTANEIRA","CE","-7","-39.74"
"ALTEROSA","MG","-21.24","-46.14"
"ALTINHO","PE","-8.49","-36.049999999999997"
"ALTINOPOLIS","SP","-21.02","-47.37"
"ALTO ALEGRE","RR","2.89","-61.49"
"ALTO ALEGRE","RS","-28.77","-52.99"
"ALTO ALEGRE","SP","-21.58","-50.16"
"ALTO ALEGRE DO MARANHAO","MA","-4.21","-44.44"
"ALTO ALEGRE DO PARECIS","RO","-12.12","-61.85"
"ALTO ALEGRE DO PINDARE","MA","-3.69","-45.9"
"ALTO ARAGUAIA","MT","-17.309999999999999","-53.21"
"ALTO BELA VISTA","SC","-27.45","-51.87"
"ALTO BOA VISTA","MT","-11.67","-51.38"
"ALTO CAPARAO","MG","-20.52","-41.89"
"ALTO DO RODRIGUES","RN","-5.28","-36.76"
"ALTO FELIZ","RS","-29.39","-51.31"
"ALTO GARCAS","MT","-16.940000000000001","-53.52"
"ALTO HORIZONTE","GO","-14.19","-49.33"
"ALTO JEQUITIBA","MG","-20.420000000000002","-41.96"
"ALTO LONGA","PI","-5.25","-42.21"
"ALTO PARAGUAI","MT","-14.51","-56.48"
"ALTO PARAISO","RO","-9.7100000000000009","-63.32"
"ALTO PARAISO DE GOIAS","GO","-14.13","-47.51"
"ALTO PARANA","PR","-23.12","-52.31"
"ALTO PARNAIBA","MA","-9.11","-45.93"
"ALTO PIQUIRI","PR","-24.02","-53.44"
"ALTO RIO DOCE","MG","-21.02","-43.41"
"ALTO RIO NOVO","ES","-19.05","-41.01"
"ALTO SANTO","CE","-5.52","-38.270000000000003"
"ALTO TAQUARI","MT","-17.82","-53.28"
"ALTONIA","PR","-23.87","-53.9"
"ALTOS","PI","-5.03","-42.46"
"ALUMINIO","SP","-23.53","-47.26"
"ALVARAES","AM","-3.22","-64.8"
"ALVARENGA","MG","-19.41","-41.72"
"ALVARES FLORENCE","SP","-20.32","-49.91"
"ALVARES MACHADO","SP","-22.07","-51.47"
"ALVARO DE CARVALHO","SP","-22.08","-49.71"
"ALVINLANDIA","SP","-22.44","-49.76"
"ALVINOPOLIS","MG","-20.100000000000001","-43.04"
"ALVORADA","RS","-29.99","-51.08"
"ALVORADA","TO","-12.48","-49.12"
"ALVORADA DE MINAS","MG","-18.73","-43.36"
"ALVORADA DO GURGUEIA","PI","-8.42","-43.77"
"ALVORADA DO NORTE","GO","-14.48","-46.49"
"ALVORADA DO SUL","PR","-22.78","-51.23"
"ALVORADA D'OESTE","RO","-11.4","-62.38"
"AMAJARI","RR","3.65","-61.37"
"AMAMBAI","MS","-23.1","-55.22"
"AMAPA","AP","2.0499999999999998","-50.79"
"AMAPA DO MARANHAO","MA","-1.56","-45.93"
"AMAPORA","PR","-23.09","-52.78"
"AMARAJI","PE","-8.3800000000000008","-35.450000000000003"
"AMARAL FERRADOR","RS","-30.87","-52.25"
"AMARALINA","GO","-13.92","-49.29"
"AMARANTE","PI","-6.24","-42.85"
"AMARANTE DO MARANHAO","MA","-5.56","-46.74"
"AMARGOSA","BA","-13.03","-39.6"
"AMATURA","AM","-3.36","-68.19"
"AMELIA RODRIGUES","BA","-12.39","-38.75"
"AMERICA DOURADA","BA","-11.45","-41.43"
"AMERICANA","SP","-22.73","-47.33"
"AMERICANO DO BRASIL","GO","-16.25","-49.98"
