"municipality","state","latitude","longitude"
"CONQUISTA","MG","-19.93","-47.54"
"CONSELHEIRO LAFAIETE","MG","-20.66","-43.78"
"CONSELHEIRO MAIRINCK","PR","-23.63","-50.16"
"CONSELHEIRO PENA","MG","-19.170000000000002","-41.47"
"CONSOLACAO","MG","-22.55","-45.92"
"CONSTANTINA","RS","-27.73","-52.99"
"CONTAGEM","MG","-19.93","-44.05"
"CONTENDA","PR","-25.67","-49.53"
"CONTENDAS DO SINCORA","BA","-13.76","-41.04"
"COQUEIRAL","MG","-21.18","-45.44"
"COQUEIRO SECO","AL","-9.6300000000000008","-35.799999999999997"
"COQUEIROS DO SUL","RS","-28.11","-52.78"
"CORACAO DE JESUS","MG","-16.68","-44.36"
"CORACAO DE MARIA","BA","-12.23","-38.75"
"CORBELIA","PR","-24.79","-53.3"
"CORDEIRO","RJ","-22.02","-42.36"
"CORDEIROPOLIS","SP","-22.48","-47.45"
"CORDEIROS","BA","-15.03","-41.93"
"CORDILHEIRA ALTA","SC","-26.98","-52.6"
"CORDISBURGO","MG","-19.12","-44.32"
"CORDISLANDIA","MG","-21.79","-45.7"
"COREAU","CE","-3.53","-40.65"
"COREMAS","PB","-7.01","-37.94"
"CORGUINHO","MS","-19.829999999999998","-54.82"
"CORIBE","BA","-13.82","-44.45"
"CORINTO","MG","-18.38","-44.45"
"CORNELIO PROCOPIO","PR","-23.18","-50.64"
"COROACI","MG","-18.62","-42.28"
"COROADOS","SP","-21.35","-50.28"
"COROATA","MA","-4.13","-44.12"
"COROMANDEL","MG","-18.47","-47.2"
"CORONEL BARROS","RS","-28.38","-54.06"
"CORONEL BICACO","RS","-27.71","-53.7"
"CORONEL DOMINGOS SOARES","PR","-26.22","-52.03"
"CORONEL EZEQUIEL","RN","-6.38","-36.21"
"CORONEL FABRICIANO","MG","-19.510000000000002","-42.62"
"CORONEL FREITAS","SC","-26.9","-52.7"
"CORONEL JOAO PESSOA","RN","-6.26","-38.44"
"CORONEL JOAO SA","BA","-10.28","-37.92"
"CORONEL JOSE DIAS","PI","-8.81","-42.51"
"CORONEL MACEDO","SP","-23.63","-49.31"
"CORONEL MARTINS","SC","-26.51","-52.66"
"CORONEL MURTA","MG","-16.61","-42.18"
"CORONEL PACHECO","MG","-21.58","-43.26"
"CORONEL SAPUCAIA","MS","-23.27","-55.52"
"CORONEL VIVIDA","PR","-25.98","-52.56"
"CORONEL XAVIER CHAVES","MG","-21.02","-44.22"
"CORREGO DANTA","MG","-19.82","-45.9"
"CORREGO DO BOM JESUS","MG","-22.63","-46.02"
"CORREGO DO OURO","GO","-16.29","-50.54"
"CORREGO FUNDO","MG","-20.440000000000001","-45.55"
"CORREGO NOVO","MG","-19.829999999999998","-42.39"
"CORREIA PINTO","SC","-27.58","-50.36"
"CORRENTE","PI","-10.44","-45.16"
"CORRENTES","PE","-9.1199999999999992","-36.33"
"CORRENTINA","BA","-13.34","-44.63"
"CORTES","PE","-8.4700000000000006","-35.54"
"CORUMBA","MS","-19","-57.65"
"CORUMBA DE GOIAS","GO","-15.92","-48.8"
"CORUMBAIBA","GO","-18.14","-48.56"
"CORUMBATAI","SP","-22.22","-47.62"
"CORUMBATAI DO SUL","PR","-24.1","-52.12"
"CORUMBIARA","RO","-12.96","-60.88"
"CORUPA","SC","-26.42","-49.24"
"CORURIPE","AL","-10.119999999999999","-36.17"
"COSMOPOLIS","SP","-22.64","-47.19"
"COSMORAMA","SP","-20.47","-49.77"
"COSTA MARQUES","RO","-12.44","-64.22"
"COSTA RICA","MS","-18.54","-53.12"
"COTEGIPE","BA","-12.02","-44.25"
"COTIA","SP","-23.6","-46.91"
"COTIPORA","RS","-28.99","-51.69"
"COTRIGUACU","MT","-9.85","-58.41"
"COUTO DE MAGALHAES","TO","-8.2799999999999994","-49.24"
"COUTO DE MAGALHAES DE MINAS","MG","-18.07","-43.47"
"COXILHA","RS","-28.12","-52.29"
"COXIM","MS","-18.5","-54.76"
"COXIXOLA","PB","-7.62","-36.6"
"CRAIBAS","AL","-9.61","-36.76"
"CRATEUS","CE","-5.17","-40.67"
"CRATO","CE","-7.23","-39.4"
"CRAVINHOS","SP","-21.34","-47.72"
"CRAVOLANDIA","BA","-13.35","-39.81"
"CRICIUMA","SC","-28.67","-49.37"
"CRISOLITA","MG","-17.23","-40.909999999999997"
"CRISOPOLIS","BA","-11.51","-38.15"
"CRISSIUMAL","RS","-27.5","-54.1"
"CRISTAIS","MG","-20.87","-45.51"
"CRISTAIS PAULISTA","SP","-20.39","-47.42"
"CRISTAL","RS","-31","-52.05"
"CRISTAL DO SUL","RS","-27.45","-53.24"
"CRISTALANDIA","TO","-10.6","-49.19"
"CRISTALANDIA DO PIAUI","PI","-10.65","-45.18"
"CRISTALIA","MG","-16.8","-42.86"
"CRISTALINA","GO","-16.760000000000002","-47.61"
"CRISTIANO OTONI","MG","-20.83","-43.8"
"CRISTIANOPOLIS","GO","-17.190000000000001","-48.7"
"CRISTINA","MG","-22.21","-45.26"
"CRISTINAPOLIS","SE","-11.47","-37.75"
"CRISTINO CASTRO","PI","-8.81","-44.22"
"CRISTOPOLIS","BA","-12.23","-44.42"
"CRIXAS","GO","-14.54","-49.96"
"CRIXAS DO TOCANTINS","TO","-11.1","-48.91"
"CROATA","CE","-4.4000000000000004","-40.909999999999997"
"CROMINIA","GO","-17.28","-49.38"
"CRUCILANDIA","MG","-20.38","-44.33"
"CRUZ","CE","-2.91","-40.17"
"CRUZ ALTA","RS","-28.63","-53.6"
"CRUZ DAS ALMAS","BA","-12.67","-39.1"
"CRUZ DO ESPIRITO SANTO","PB","-7.14","-35.08"
"CRUZ MACHADO","PR","-26.01","-51.34"
"CRUZALIA","SP","-22.73","-50.79"
"CRUZEIRO","SP","-22.57","-44.96"
"CRUZEIRO DA FORTALEZA","MG","-18.940000000000001","-46.67"
"CRUZEIRO DO IGUACU","PR","-25.61","-53.12"
"CRUZEIRO DO OESTE","PR","-23.78","-53.07"
"CRUZEIRO DO SUL","AC","-7.63","-72.67"
"CRUZEIRO DO SUL","PR","-22.96","-52.16"
"CRUZEIRO DO SUL","RS","-29.51","-51.98"
"CRUZETA","RN","-6.41","-36.79"
"CRUZILIA","MG","-21.83","-44.8"
"CRUZMALTINA","PR","-24.01","-51.45"
"CUBATAO","SP","-23.89","-46.42"
"CUBATI","PB","-6.86","-36.369999999999997"
"CUIABA","MT","-15.59","-56.09"
"CUITE","PB","-6.48","-36.15"
"CUITE DE MAMANGUAPE","PB","-6.91","-35.25"
"CUITEGI","PB","-6.89","-35.520000000000003"
"CUJUBIM","RO","-9.36","-62.58"
"CUMARI","GO","-18.260000000000002","-48.15"
"CUMARU","PE","-8","-35.69"
"CUMARU DO NORTE","PA","-7.82","-50.77"
"CUMBE","SE","-10.35","-37.18"
"CUNHA","SP","-23.07","-44.96"
"CUNHA PORA","SC","-26.89","-53.16"
"CUNHATAI","SC","-26.96","-53.09"
"CUPARAQUE","MG","-18.96","-41.09"
"CUPIRA","PE","-8.61","-35.950000000000003"
"CURACA","BA","-8.99","-39.9"
"CURIMATA","PI","-10.029999999999999","-44.3"
"CURIONOPOLIS","PA","-6.09","-49.54"
"CURITIBA","PR","-25.42","-49.27"
"CURITIBANOS","SC","-27.28","-50.58"
"CURIUVA","PR","-24.03","-50.45"
"CURRAIS","PI","-9","-44.41"
"CURRAIS NOVOS","RN","-6.26","-36.51"
"CURRAL DE CIMA","PB","-6.71","-35.26"
"CURRAL DE DENTRO","MG","-15.93","-41.84"
"CURRAL NOVO DO PIAUI","PI","-7.83","-40.9"
"CURRAL VELHO","PB","-7.58","-38.19"
"CURRALINHO","PA","-1.81","-49.79"
"CURRALINHOS","PI","-5.58","-42.77"
"CURUA","PA","-1.88","-55.11"
"CURUCA","PA","-0.73","-47.85"
"CURURUPU","MA","-1.82","-44.86"
"CURVELO","MG","-18.75","-44.43"
"CUSTODIA","PE","-8.08","-37.64"
"CUTIAS","AP","0.98","-50.8"
"DAMIANOPOLIS","GO","-14.56","-46.17"
"DAMIAO","PB","-6.55","-35.89"
"DAMOLANDIA","GO","-16.25","-49.37"
"DARCINOPOLIS","TO","-6.71","-47.76"
"DARIO MEIRA","BA","-14.43","-39.9"
"DATAS","MG","-18.440000000000001","-43.65"
"DAVID CANABARRO","RS","-28.38","-51.84"
"DAVINOPOLIS","GO","-18.149999999999999","-47.56"
"DAVINOPOLIS","MA","-5.55","-47.42"
"DELFIM MOREIRA","MG","-22.5","-45.28"
"DELFINOPOLIS","MG","-20.34","-46.85"
"DELMIRO GOUVEIA","AL","-9.3800000000000008","-37.99"
"DELTA","MG","-19.97","-47.77"
"DEMERVAL LOBAO","PI","-5.35","-42.67"
"DENISE","MT","-14.74","-57.05"
"DEODAPOLIS","MS","-22.27","-54.16"
"DEPUTADO IRAPUAN PINHEIRO","CE","-5.91","-39.26"
"DERRUBADAS","RS","-27.26","-53.86"
"DESCALVADO","SP","-21.9","-47.61"
"DESCANSO","SC","-26.82","-53.5"
"DESCOBERTO","MG","-21.46","-42.96"
"DESTERRO","PB","-7.29","-37.090000000000003"
"DESTERRO DE ENTRE RIOS","MG","-20.66","-44.33"
"DESTERRO DO MELO","MG","-21.14","-43.51"
"DEZESSEIS DE NOVEMBRO","RS","-28.21","-55.06"
"DIADEMA","SP","-23.68","-46.62"
"DIAMANTE","PB","-7.42","-38.26"
"DIAMANTE DO NORTE","PR","-22.65","-52.86"
"DIAMANTE DO SUL","PR","-25.04","-52.68"
"DIAMANTE D'OESTE","PR","-24.94","-54.1"
"DIAMANTINA","MG","-18.239999999999998","-43.6"
"DIAMANTINO","MT","-14.4","-56.44"
"DIANOPOLIS","TO","-11.62","-46.82"
"DIAS D'AVILA","BA","-12.61","-38.29"
"DILERMANDO DE AGUIAR","RS","-29.7","-54.2"
"DIOGO DE VASCONCELOS","MG","-20.48","-43.19"
"DIONISIO","MG","-19.84","-42.77"
"DIONISIO CERQUEIRA","SC","-26.25","-53.64"
"DIORAMA","GO","-16.23","-51.25"
"DIRCE REIS","SP","-20.46","-50.6"
"DIRCEU ARCOVERDE","PI","-9.33","-42.42"
"DIVINA PASTORA","SE","-10.68","-37.14"
"DIVINESIA","MG","-20.99","-43"
"DIVINO","MG","-20.61","-42.14"
"DIVINO DAS LARANJEIRAS","MG","-18.77","-41.48"
"DIVINO DE SAO LOURENCO","ES","-20.62","-41.68"
"DIVINOLANDIA","SP","-21.66","-46.73"
"DIVINOLANDIA DE MINAS","MG","-18.8","-42.59"
"DIVINOPOLIS","MG","-20.13","-44.88"
"DIVINOPOLIS DE GOIAS","GO","-13.29","-46.39"
"DIVINOPOLIS DO TOCANTINS","TO","-9.8000000000000007","-49.21"
"DIVISA ALEGRE","MG","-15.72","-41.34"
"DIVISA NOVA","MG","-21.51","-46.19"
"DIVISOPOLIS","MG","-15.72","-41"
"DOBRADA","SP","-21.51","-48.39"
"DOIS CORREGOS","SP","-22.36","-48.38"
"DOIS IRMAOS","RS","-29.58","-51.08"
"DOIS IRMAOS DAS MISSOES","RS","-27.65","-53.53"
"DOIS IRMAOS DO BURITI","MS","-20.68","-55.29"
"DOIS IRMAOS DO TOCANTINS","TO","-9.25","-49.06"
"DOIS LAJEADOS","RS","-28.98","-51.83"
"DOIS RIACHOS","AL","-9.39","-37.1"
"DOIS VIZINHOS","PR","-25.73","-53.05"
"DOLCINOPOLIS","SP","-20.12","-50.51"
"DOM AQUINO","MT","-15.81","-54.91"
"DOM BASILIO","BA","-13.76","-41.77"
"DOM BOSCO","MG","-16.649999999999999","-46.27"
"DOM CAVATI","MG","-19.37","-42.1"
"DOM ELISEU","PA","-4.28","-47.5"
"DOM EXPEDITO LOPES","PI","-6.95","-41.64"
"DOM FELICIANO","RS","-30.7","-52.1"
"DOM INOCENCIO","PI","-9","-41.97"
"DOM JOAQUIM","MG","-18.96","-43.25"
"DOM MACEDO COSTA","BA","-12.9","-39.19"
"DOM PEDRITO","RS","-30.98","-54.67"
"DOM PEDRO","MA","-5.03","-44.43"
"DOM PEDRO DE ALCANTARA","RS","-29.36","-49.85"
"DOM SILVERIO","MG","-20.16","-42.96"
"DOM VICOSO","MG","-22.25","-45.16"
"DOMINGOS MARTINS","ES","-20.36","-40.65"
"DOMINGOS MOURAO","PI","-4.25","-41.27"
"DONA EMMA","SC","-26.98","-49.72"
"DONA EUZEBIA","MG","-21.31","-42.81"
"DONA FRANCISCA","RS","-29.62","-53.35"
"DONA INES","PB","-6.61","-35.630000000000003"
"DORES DE CAMPOS","MG","-21.1","-44.02"
"DORES DE GUANHAES","MG","-19.05","-42.92"
"DORES DO INDAIA","MG","-19.46","-45.6"
"DORES DO RIO PRETO","ES","-20.68","-41.84"
"DORES DO TURVO","MG","-20.97","-43.18"
"DORESOPOLIS","MG","-20.28","-45.9"
"DORMENTES","PE","-8.44","-40.770000000000003"
"DOURADINA","MS","-22.04","-54.61"
"DOURADINA","PR","-23.38","-53.29"
"DOURADO","SP","-22.1","-48.31"
"DOURADOQUARA","MG","-18.43","-47.6"
"DOURADOS","MS","-22.22","-54.8"
"DOUTOR CAMARGO","PR","-23.55","-52.21"
"DOUTOR MAURICIO CARDOSO","RS","-27.5","-54.36"
"DOUTOR PEDRINHO","SC","-26.71","-49.48"
"DOUTOR RICARDO","RS","-29.08","-51.99"
"DOUTOR SEVERIANO","RN","-6.09","-38.369999999999997"
"DOUTOR ULYSSES","PR","-24.56","-49.42"
"DOVERLANDIA","GO","-16.72","-52.31"
"DRACENA","SP","-21.48","-51.53"
"DUARTINA","SP","-22.41","-49.4"
"DUAS BARRAS","RJ","-22.05","-42.52"
"DUAS ESTRADAS","PB","-6.68","-35.409999999999997"
"DUERE","TO","-11.34","-49.27"
"DUMONT","SP","-21.23","-47.97"
"DUQUE BACELAR","MA","-4.1500000000000004","-42.94"
"DUQUE DE CAXIAS","RJ","-22.78","-43.31"
"DURANDE","MG","-20.2","-41.79"
"ECHAPORA","SP","-22.42","-50.2"
"ECOPORANGA","ES","-18.37","-40.83"
"EDEALINA","GO","-17.420000000000002","-49.66"
"EDEIA","GO","-17.329999999999998","-49.93"
"EIRUNEPE","AM","-6.66","-69.87"
"ELDORADO","MS","-23.78","-54.28"
"ELDORADO","SP","-24.52","-48.1"
"ELDORADO DO SUL","RS","-30.08","-51.61"
"ELDORADO DOS CARAJAS","PA","-6.1","-49.35"
"ELESBAO VELOSO","PI","-6.2","-42.14"
"ELIAS FAUSTO","SP","-23.04","-47.37"
"ELISEU MARTINS","PI","-8.09","-43.66"
"ELISIARIO","SP","-21.16","-49.11"
"ELISIO MEDRADO","BA","-12.94","-39.520000000000003"
"ELOI MENDES","MG","-21.61","-45.56"
"EMAS","PB","-7.1","-37.71"
"EMBAUBA","SP","-20.98","-48.83"
"EMBU","SP","-23.64","-46.85"
"EMBU-GUACU","SP","-23.83","-46.81"
"EMILIANOPOLIS","SP","-21.83","-51.48"
"ENCANTADO","RS","-29.23","-51.87"
"ENCANTO","RN","-6.11","-38.299999999999997"
"ENCRUZILHADA","BA","-15.53","-40.9"
"ENCRUZILHADA DO SUL","RS","-30.54","-52.52"
"ENEAS MARQUES","PR","-25.94","-53.16"
"ENGENHEIRO BELTRAO","PR","-23.79","-52.26"
"ENGENHEIRO CALDAS","MG","-19.21","-42.04"
"ENGENHEIRO COELHO","SP","-22.48","-47.21"
"ENGENHEIRO NAVARRO","MG","-17.28","-43.95"
"ENGENHEIRO PAULO DE FRONTIN","RJ","-22.55","-43.67"
"ENGENHO VELHO","RS","-27.7","-52.91"
"ENTRE FOLHAS","MG","-19.62","-42.23"
"ENTRE RIOS","BA","-11.94","-38.08"
"ENTRE RIOS","SC","-26.72","-52.56"
"ENTRE RIOS DE MINAS","MG","-20.67","-44.06"
"ENTRE RIOS DO OESTE","PR","-24.7","-54.23"
"ENTRE RIOS DO SUL","RS","-27.52","-52.73"
"ENTRE-IJUIS","RS","-28.36","-54.26"
"ENVIRA","AM","-7.43","-70.02"
"EPITACIOLANDIA","AC","-11.02","-68.739999999999995"
"EQUADOR","RN","-6.94","-36.71"
"EREBANGO","RS","-27.85","-52.3"
"ERECHIM","RS","-27.63","-52.27"
"ERERE","CE","-6.03","-38.340000000000003"
"ERICO CARDOSO","BA","-13.41","-42.14"
"ERMO","SC","-28.98","-49.64"
"ERNESTINA","RS","-28.49","-52.57"
"ERVAL GRANDE","RS","-27.39","-52.57"
"ERVAL SECO","RS","-27.54","-53.5"
"ERVAL VELHO","SC","-27.27","-51.44"
"ERVALIA","MG","-20.84","-42.65"
"ESCADA","PE","-8.35","-35.22"
"ESMERALDA","RS","-28.05","-51.19"
"ESMERALDAS","MG","-19.760000000000002","-44.31"
"ESPERA FELIZ","MG","-20.65","-41.9"
"ESPERANCA","PB","-7.02","-35.86"
"ESPERANCA DO SUL","RS","-27.35","-53.99"
"ESPERANCA NOVA","PR","-23.72","-53.81"
"ESPERANTINA","PI","-3.9","-42.23"
"ESPERANTINA","TO","-5.34","-48.51"
"ESPERANTINOPOLIS","MA","-4.88","-44.68"
"ESPIGAO ALTO DO IGUACU","PR","-25.42","-52.83"
"ESPIGAO D'OESTE","RO","-11.52","-61.01"
"ESPINOSA","MG","-14.92","-42.81"
"ESPIRITO SANTO","RN","-6.33","-35.299999999999997"
"ESPIRITO SANTO DO DOURADO","MG","-22.04","-45.95"
"ESPIRITO SANTO DO PINHAL","SP","-22.19","-46.74"
"ESPIRITO SANTO DO TURVO","SP","-22.69","-49.43"
"ESPLANADA","BA","-11.79","-37.94"
"ESPUMOSO","RS","-28.72","-52.85"
"ESTACAO","RS","-27.91","-52.26"
"ESTANCIA","SE","-11.26","-37.43"
"ESTANCIA VELHA","RS","-29.64","-51.17"
"ESTEIO","RS","-29.86","-51.17"
"ESTIVA","MG","-22.46","-46.01"
"ESTIVA GERBI","SP","-22.27","-46.94"
"ESTREITO","MA","-6.56","-47.45"
"ESTRELA","RS","-29.5","-51.96"
"ESTRELA DALVA","MG","-21.74","-42.46"
"ESTRELA DE ALAGOAS","AL","-9.39","-36.76"
"ESTRELA DO INDAIA","MG","-19.52","-45.78"
"ESTRELA DO NORTE","GO","-13.86","-49.07"
"ESTRELA DO NORTE","SP","-22.48","-51.66"
"ESTRELA DO SUL","MG","-18.739999999999998","-47.69"
"ESTRELA D'OESTE","SP","-20.28","-50.4"
"ESTRELA VELHA","RS","-29.17","-53.15"
"EUCLIDES DA CUNHA","BA","-10.5","-39.01"
"EUCLIDES DA CUNHA PAULISTA","SP","-22.56","-52.59"
"EUGENIO DE CASTRO","RS","-28.52","-54.14"
"EUGENOPOLIS","MG","-21.09","-42.18"
"EUNAPOLIS","BA","-16.37","-39.58"
"EUSEBIO","CE","-3.89","-38.450000000000003"
"EWBANK DA CAMARA","MG","-21.55","-43.51"
"EXTREMA","MG","-22.85","-46.31"
"EXTREMOZ","RN","-5.7","-35.299999999999997"
"EXU","PE","-7.51","-39.72"
"FAGUNDES","PB","-7.35","-35.770000000000003"
"FAGUNDES VARELA","RS","-28.88","-51.69"
"FAINA","GO","-15.44","-50.36"
"FAMA","MG","-21.4","-45.82"
"FARIA LEMOS","MG","-20.8","-42.03"
"FARIAS BRITO","CE","-6.93","-39.56"
"FARO","PA","-2.17","-56.74"
"FAROL","PR","-24.1","-52.62"
"FARROUPILHA","RS","-29.22","-51.34"
"FARTURA","SP","-23.38","-49.51"
"FARTURA DO PIAUI","PI","-9.48","-42.79"
"FATIMA","BA","-10.6","-38.21"
"FATIMA","TO","-10.76","-48.9"
"FATIMA DO SUL","MS","-22.37","-54.51"
"FAXINAL","PR","-24","-51.32"
"FAXINAL DO SOTURNO","RS","-29.57","-53.44"
"FAXINAL DOS GUEDES","SC","-26.85","-52.26"
"FAXINALZINHO","RS","-27.42","-52.67"
"FAZENDA NOVA","GO","-16.18","-50.78"
"FAZENDA RIO GRANDE","PR","-25.65","-49.3"
"FAZENDA VILANOVA","RS","-29.58","-51.82"
"FEIJO","AC","-8.16","-70.349999999999994"
"FEIRA DA MATA","BA","-14.2","-44.28"
"FEIRA DE SANTANA","BA","-12.26","-38.96"
"FEIRA GRANDE","AL","-9.9","-36.67"
"FEIRA NOVA","PE","-7.95","-35.380000000000003"
"FEIRA NOVA","SE","-10.26","-37.31"
"FEIRA NOVA DO MARANHAO","MA","-6.96","-46.68"
"FELICIO DOS SANTOS","MG","-18.07","-43.24"
"FELIPE GUERRA","RN","-5.6","-37.68"
"FELISBURGO","MG","-16.63","-40.76"
"FELIXLANDIA","MG","-18.75","-44.89"
"FELIZ","RS","-29.45","-51.3"
"FELIZ DESERTO","AL","-10.29","-36.299999999999997"
"FELIZ NATAL","MT","-12.38","-54.92"
"FENIX","PR","-23.91","-51.97"
"FERNANDES PINHEIRO","PR","-25.41","-50.54"
"FERNANDES TOURINHO","MG","-19.149999999999999","-42.08"
"FERNANDO DE NORONHA","PE","-3.84","-32.409999999999997"
"FERNANDO FALCAO","MA","-6.15","-44.89"
"FERNANDO PEDROZA","RN","-5.69","-36.53"
"FERNANDO PRESTES","SP","-21.26","-48.68"
"FERNANDOPOLIS","SP","-20.28","-50.24"
"FERNAO","SP","-22.35","-49.52"
"FERRAZ DE VASCONCELOS","SP","-23.54","-46.36"
"FERREIRA GOMES","AP","0.85","-51.18"
"FERREIROS","PE","-7.44","-35.24"
"FERROS","MG","-19.23","-43.02"
"FERVEDOURO","MG","-20.72","-42.27"
"FIGUEIRA","PR","-23.84","-50.4"
"FIGUEIROPOLIS","TO","-12.13","-49.17"
"FIGUEIROPOLIS D'OESTE","MT","-15.44","-58.74"
"FILADELFIA","BA","-10.74","-40.130000000000003"
"FILADELFIA","TO","-7.33","-47.49"
"FIRMINO ALVES","BA","-14.98","-39.92"
"FIRMINOPOLIS","GO","-16.579999999999998","-50.3"
"FLEXEIRAS","AL","-9.27","-35.71"
"FLOR DA SERRA DO SUL","PR","-26.26","-53.3"
"FLOR DO SERTAO","SC","-26.77","-53.34"
"FLORA RICA","SP","-21.67","-51.38"
"FLORAI","PR","-23.31","-52.3"
"FLORANIA","RN","-6.12","-36.81"
"FLOREAL","SP","-20.67","-50.14"
"FLORES","PE","-7.86","-37.97"
"FLORES DA CUNHA","RS","-29.02","-51.18"
"FLORES DE GOIAS","GO","-14.44","-47.05"
"FLORES DO PIAUI","PI","-7.79","-42.92"
"FLORESTA","PE","-8.6","-38.56"
"FLORESTA","PR","-23.59","-52.08"
"FLORESTA AZUL","BA","-14.86","-39.659999999999997"
"FLORESTA DO ARAGUAIA","PA","-7.55","-49.71"
"FLORESTA DO PIAUI","PI","-7.46","-41.79"
"FLORESTAL","MG","-19.88","-44.43"
"FLORESTOPOLIS","PR","-22.86","-51.38"
"FLORIANO","PI","-6.76","-43.02"
"FLORIANO PEIXOTO","RS","-27.86","-52.08"
"FLORIANOPOLIS","SC","-27.59","-48.54"
"FLORIDA","PR","-23.08","-51.95"
"FLORIDA PAULISTA","SP","-21.61","-51.17"
"FLORINIA","SP","-22.9","-50.73"
"FONTE BOA","AM","-2.5099999999999998","-66.09"
"FONTOURA XAVIER","RS","-28.98","-52.34"
"FORMIGA","MG","-20.46","-45.42"
"FORMIGUEIRO","RS","-30","-53.49"
"FORMOSA","GO","-15.53","-47.33"
"FORMOSA DA SERRA NEGRA","MA","-6.43","-46.19"
"FORMOSA DO OESTE","PR","-24.29","-53.31"
"FORMOSA DO RIO PRETO","BA","-11.04","-45.19"
"FORMOSA DO SUL","SC","-26.64","-52.79"
"FORMOSO","GO","-13.65","-48.88"
"FORMOSO","MG","-14.94","-46.23"
"FORMOSO DO ARAGUAIA","TO","-11.79","-49.52"
"FORQUILHA","CE","-3.79","-40.26"
"FORQUILHINHA","SC","-28.74","-49.47"
"FORTALEZA","CE","-3.71","-38.54"
"FORTALEZA DE MINAS","MG","-20.84","-46.71"
"FORTALEZA DO TABOCAO","TO","-9.0500000000000007","-48.51"
"FORTALEZA DOS NOGUEIRAS","MA","-6.96","-46.17"
"FORTALEZA DOS VALOS","RS","-28.79","-53.22"
"FORTIM","CE","-4.45","-37.79"
"FORTUNA","MA","-5.73","-44.15"
"FORTUNA DE MINAS","MG","-19.559999999999999","-44.44"
"FOZ DO IGUACU","PR","-25.54","-54.58"
"FOZ DO JORDAO","PR","-25.64","-52.1"
"FRAIBURGO","SC","-27.02","-50.92"
"FRANCA","SP","-20.53","-47.4"
"FRANCINOPOLIS","PI","-6.39","-42.26"
"FRANCISCO ALVES","PR","-24.06","-53.84"
"FRANCISCO AYRES","PI","-6.62","-42.69"
"FRANCISCO BADARO","MG","-16.989999999999998","-42.35"
"FRANCISCO BELTRAO","PR","-26.08","-53.05"
"FRANCISCO DANTAS","RN","-6.07","-38.11"
"FRANCISCO DUMONT","MG","-17.309999999999999","-44.23"
"FRANCISCO MACEDO","PI","-7.33","-40.78"
"FRANCISCO MORATO","SP","-23.28","-46.74"
"FRANCISCO SA","MG","-16.47","-43.48"
"FRANCISCO SANTOS","PI","-6.99","-41.13"
"FRANCISCOPOLIS","MG","-17.96","-42"
"FRANCO DA ROCHA","SP","-23.32","-46.72"
"FRECHEIRINHA","CE","-3.76","-40.81"
"FREDERICO WESTPHALEN","RS","-27.35","-53.39"
"FREI GASPAR","MG","-18.059999999999999","-41.42"
"FREI INOCENCIO","MG","-18.54","-41.92"
"FREI LAGONEGRO","MG","-18.16","-42.76"
"FREI MARTINHO","PB","-6.4","-36.450000000000003"
"FREI MIGUELINHO","PE","-7.94","-35.909999999999997"
"FREI PAULO","SE","-10.54","-37.53"
"FREI ROGERIO","SC","-27.17","-50.8"
"FRONTEIRA","MG","-20.260000000000002","-49.19"
"FRONTEIRA DOS VALES","MG","-16.89","-40.92"
"FRONTEIRAS","PI","-7.08","-40.61"
"FRUTA DE LEITE","MG","-16.13","-42.53"
"FRUTAL","MG","-20.02","-48.94"
"FRUTUOSO GOMES","RN","-6.15","-37.840000000000003"
"FUNDAO","ES","-19.93","-40.4"
"FUNILANDIA","MG","-19.36","-44.05"
"GABRIEL MONTEIRO","SP","-21.53","-50.55"
"GADO BRAVO","PB","-7.58","-35.79"
"GALIA","SP","-22.29","-49.55"
"GALILEIA","MG","-18.989999999999998","-41.53"
"GALINHOS","RN","-5.09","-36.270000000000003"
"GALVAO","SC","-26.45","-52.68"
"GAMELEIRA","PE","-8.58","-35.380000000000003"
"GAMELEIRAS","MG","-15.08","-43.12"
"GANDU","BA","-13.74","-39.479999999999997"
"GARANHUNS","PE","-8.89","-36.49"
"GARARU","SE","-9.9600000000000009","-37.08"
"GARCA","SP","-22.21","-49.65"
"GARIBALDI","RS","-29.25","-51.53"
"GAROPABA","SC","-28.02","-48.61"
"GARRAFAO DO NORTE","PA","-1.93","-47.05"
"GARRUCHOS","RS","-28.18","-55.63"
"GARUVA","SC","-26.02","-48.85"
"GASPAR","SC","-26.93","-48.95"
"GASTAO VIDIGAL","SP","-20.79","-50.18"
"GAUCHA DO NORTE","MT","-13.24","-53.08"
"GAURAMA","RS","-27.58","-52.09"
"GAVIAO","BA","-11.47","-39.78"
"GAVIAO PEIXOTO","SP","-21.83","-48.49"
"GEMINIANO","PI","-7.15","-41.36"
"GENERAL CAMARA","RS","-29.9","-51.76"
"GENERAL CARNEIRO","MT","-15.71","-52.75"
"GENERAL CARNEIRO","PR","-26.42","-51.31"
"GENERAL MAYNARD","SE","-10.68","-36.979999999999997"
"GENERAL SALGADO","SP","-20.64","-50.36"
"GENERAL SAMPAIO","CE","-4.05","-39.450000000000003"
"GENTIL","RS","-28.43","-52.03"
"GENTIO DO OURO","BA","-11.42","-42.5"
"GETULINA","SP","-21.79","-49.92"
"GETULIO VARGAS","RS","-27.89","-52.22"
"GILBUES","PI","-9.83","-45.34"
