municipality,state,distributor,regulated_tariff,tariff_start,tariff_end,multiple_distributors
PIRACICABA,SP,CPFL-PAULISTA,0.73945,2026-04-08,2027-04-07,0
SALTINHO,SP,CPFL-PAULISTA,0.73945,2026-04-08,2027-04-07,0
MACAUBAS,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
QUIXADA,CE,"ENEL CE",0.74977,2026-04-22,2027-04-21,0
"SANTA VITORIA DO PALMAR",RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
TABULEIRO,MG,EMR,0.81704,2026-01-01,2026-06-21,0
ERERE,CE,"ENEL CE",0.74977,2026-04-22,2027-04-21,0
IRACEMA,CE,"ENEL CE",0.74977,2026-04-22,2027-04-21,0
JAGUARETAMA,CE,"ENEL CE",0.74977,2026-04-22,2027-04-21,0
JAGUARIBARA,CE,"ENEL CE",0.74977,2026-04-22,2027-04-21,0
JAGUARIBE,CE,"ENEL CE",0.74977,2026-04-22,2027-04-21,0
PEREIRO,CE,"ENEL CE",0.74977,2026-04-22,2027-04-21,0
POTIRETAMA,CE,"ENEL CE",0.74977,2026-04-22,2027-04-21,0
IRAQUARA,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
IBITITA,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
"TERRA DE AREIA",RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
SAUBARA,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
GUIDOVAL,MG,EMR,0.81704,2026-01-01,2026-06-21,0
CANDELARIA,RS,"RGE SUL",,,,0
"SAO FRANCISCO DE ASSIS",RS,"RGE SUL",,,,0
"OLIVEIRA DOS BREJINHOS",BA,COELBA,0.87773,2026-04-22,2027-04-21,0
CATAGUASES,MG,EMR,0.81704,2026-01-01,2026-06-21,0
LEOPOLDINA,MG,EMR,0.81704,2026-01-01,2026-06-21,0
"ELDORADO DO SUL",RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
FORMIGUEIRO,RS,"RGE SUL",,,,0
"ELISIO MEDRADO",BA,COELBA,0.87773,2026-04-22,2027-04-21,0
"SANTA ROSA",RS,RGE,0.8222,2026-01-01,2026-06-18,1
"ROCA SALES",RS,"RGE SUL",,,,1
CHORO,CE,"ENEL CE",0.74977,2026-04-22,2027-04-21,0
IBARETAMA,CE,"ENEL CE",0.74977,2026-04-22,2027-04-21,0
"ENTRE RIOS",SC,DCELT,0.68354,2026-01-01,2026-08-28,0
MAQUINE,RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
IBIRATAIA,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
"VERA CRUZ",RS,"RGE SUL",,,,0
CARIRE,CE,"ENEL CE",0.74977,2026-04-22,2027-04-21,0
GROAIRAS,CE,"ENEL CE",0.74977,2026-04-22,2027-04-21,0
MAIQUINIQUE,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
"SAO PEDRO DO SUL",RS,"RGE SUL",,,,0
"SAO GABRIEL DA PALHA",ES,ELFSM,0.74537,2026-01-01,2026-09-21,1
GUAIBA,RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
"CONCEICAO DE MACABU",RJ,"ENEL RJ",1.0611,2026-03-15,2027-03-14,0
"SANTA MARIA MADALENA",RJ,"ENEL RJ",1.0611,2026-03-15,2027-03-14,0
CANUDOS,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
"DOM PEDRITO",RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
"SANTA CRUZ DO SUL",RS,"RGE SUL",,,,1
ALEGRETE,RS,"RGE SUL",,,,0
PALMEIRAS,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
HERVAL,RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
TORRES,RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
"ARROIO DOS RATOS",RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
"SAO JERONIMO",RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
"SAO JOSE DO NORTE",RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
MARACANAU,CE,"ENEL CE",0.74977,2026-04-22,2027-04-21,0
TAVARES,RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
CERRITO,RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
"SAO LOURENCO DO SUL",RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
XANGRI-LA,RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
"PALMARES DO SUL",RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
"SENTO SE",BA,COELBA,0.87773,2026-04-22,2027-04-21,0
DESCOBERTO,MG,EMR,0.81704,2026-01-01,2026-06-21,0
"ITAMARATI DE MINAS",MG,EMR,0.81704,2026-01-01,2026-06-21,0
BONINAL,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
"NOVA FRIBURGO",RJ,ENF,,,,1
"MATA DE SAO JOAO",BA,COELBA,0.87773,2026-04-22,2027-04-21,0
"LAVRAS DO SUL",RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
"CAPAO DO LEAO",RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
"ALTO RIO NOVO",ES,ELFSM,0.74537,2026-01-01,2026-09-21,1
"NOVA SANTA RITA",RS,"RGE SUL",,,,0
"DOM FELICIANO",RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
BRASILIA,DF,"NEOENERGIA BRASILIA",0.82672,2026-01-01,2026-10-21,0
"ASTOLFO DUTRA",MG,EMR,0.81704,2026-01-01,2026-06-21,0
"LAGOA BONITA DO SUL",RS,"RGE SUL",,,,0
SOBRADINHO,RS,"RGE SUL",,,,0
BAURU,SP,CPFL-PAULISTA,0.73945,2026-04-08,2027-04-07,0
PEDERNEIRAS,SP,CPFL-PAULISTA,0.73945,2026-04-08,2027-04-07,0
PIRATININGA,SP,CPFL-PAULISTA,0.73945,2026-04-08,2027-04-07,0
XIQUE-XIQUE,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
"GENERAL CAMARA",RS,"RGE SUL",,,,1
IMBE,RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
"BREU BRANCO",PA,"EQUATORIAL PA",0.9783,2026-01-01,2026-08-06,0
"GOIANESIA DO PARA",PA,"EQUATORIAL PA",0.9783,2026-01-01,2026-08-06,0
"NOVO REPARTIMENTO",PA,"EQUATORIAL PA",0.9783,2026-01-01,2026-08-06,0
PACAJA,PA,"EQUATORIAL PA",0.9783,2026-01-01,2026-08-06,0
TUCURUI,PA,"EQUATORIAL PA",0.9783,2026-01-01,2026-08-06,0
"RIO NOVO",MG,EMR,0.81704,2026-01-01,2026-06-21,0
PIRAUBA,MG,EMR,0.81704,2026-01-01,2026-06-21,0
MOSTARDAS,RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
PEDREIRA,SP,"CPFL JAGUARI",,,,0
"RIO PARDO",RS,"RGE SUL",,,,1
"ROSARIO DO SUL",RS,"RGE SUL",,,,0
ALCOBACA,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
PRADO,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
ALVINLANDIA,SP,CPFL-PAULISTA,0.73945,2026-04-08,2027-04-07,0
"CAMPOS NOVOS PAULISTA",SP,CPFL-PAULISTA,0.73945,2026-04-08,2027-04-07,0
LUPERCIO,SP,CPFL-PAULISTA,0.73945,2026-04-08,2027-04-07,0
MARILIA,SP,CPFL-PAULISTA,0.73945,2026-04-08,2027-04-07,0
OCAUCU,SP,CPFL-PAULISTA,0.73945,2026-04-08,2027-04-07,0
CAUCAIA,CE,"ENEL CE",0.74977,2026-04-22,2027-04-21,0
"SAO GONCALO DO AMARANTE",CE,"ENEL CE",0.74977,2026-04-22,2027-04-21,0
LAJEADO,RS,"RGE SUL",,,,1
CATANDUVA,SP,CNEE,,,,1
MACAE,RJ,"ENEL RJ",1.0611,2026-03-15,2027-03-14,0
"TRES CACHOEIRAS",RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
BURITIRAMA,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
"MORRINHOS DO SUL",RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
"ALEM PARAIBA",MG,EMR,0.81704,2026-01-01,2026-06-21,1
"SANTO ANTONIO DO AVENTUREIRO",MG,EMR,0.81704,2026-01-01,2026-06-21,0
NAZARE,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
"DIAS D'AVILA",BA,COELBA,0.87773,2026-04-22,2027-04-21,0
MAMPITUBA,RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
CAMAQUA,RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
CAMANDUCAIA,MG,EEB,,,,0
PALMA,MG,EMR,0.81704,2026-01-01,2026-06-21,0
PICOS,PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
CANDEIAS,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
PORTAO,RS,"RGE SUL",,,,0
"PINHEIRO MACHADO",RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
"DONA EUZEBIA",MG,EMR,0.81704,2026-01-01,2026-06-21,0
SERRINHA,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
URUPES,SP,CNEE,,,,1
ITAMBE,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
"BOA NOVA",BA,COELBA,0.87773,2026-04-22,2027-04-21,0
MONTENEGRO,RS,"RGE SUL",,,,1
SEABRA,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
"PLACIDO DE CASTRO",AC,EAC,0.87381,2026-01-01,2026-12-12,0
"RIO BRANCO",AC,EAC,0.87381,2026-01-01,2026-12-12,0
COCOS,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
"ALVORADA DO GURGUEIA",PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
COIMBRA,MG,EMR,0.81704,2026-01-01,2026-06-21,0
ALTAMIRA,PA,"EQUATORIAL PA",0.9783,2026-01-01,2026-08-06,0
"BRASIL NOVO",PA,"EQUATORIAL PA",0.9783,2026-01-01,2026-08-06,0
"VITORIA DO XINGU",PA,"EQUATORIAL PA",0.9783,2026-01-01,2026-08-06,0
"HULHA NEGRA",RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
CAMBUCI,RJ,"ENEL RJ",1.0611,2026-03-15,2027-03-14,0
ITAOCARA,RJ,"ENEL RJ",1.0611,2026-03-15,2027-03-14,0
"SAO FIDELIS",RJ,"ENEL RJ",1.0611,2026-03-15,2027-03-14,0
JAGUAQUARA,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
"VENANCIO AIRES",RS,"RGE SUL",,,,1
ESPLANADA,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
"RIO REAL",BA,SULGIPE,0.75461,2026-05-22,2027-05-21,1
"ALTO ALEGRE",SP,CPFL-PAULISTA,0.73945,2026-04-08,2027-04-07,1
AVANHANDAVA,SP,CPFL-PAULISTA,0.73945,2026-04-08,2027-04-07,1
PENAPOLIS,SP,CPFL-PAULISTA,0.73945,2026-04-08,2027-04-07,1
CAFARNAUM,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
ITABUNA,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
AQUIRAZ,CE,"ENEL CE",0.74977,2026-04-22,2027-04-21,0
EUSEBIO,CE,"ENEL CE",0.74977,2026-04-22,2027-04-21,0
"ARROIO GRANDE",RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
AGUDO,RS,"RGE SUL",,,,0
"PANTANO GRANDE",RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
IPIAU,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
"CONCEICAO DO JACUIPE",BA,COELBA,0.87773,2026-04-22,2027-04-21,0
MERCES,MG,EMR,0.81704,2026-01-01,2026-06-21,1
INHAMBUPE,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
BERTIOGA,SP,ELEKTRO,0.79605,2026-01-01,2026-08-26,0
SANTOS,SP,CPFL-PIRATINING,0.73969,2026-01-01,2026-10-22,1
CATU,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
ESTRELA,RS,"RGE SUL",,,,1
"MORRO REDONDO",RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
IRAMAIA,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
"SANTA MARGARIDA DO SUL",RS,"RGE SUL",,,,0
"SAO GABRIEL",RS,"RGE SUL",,,,0
JAGUARUANA,CE,"ENEL CE",0.74977,2026-04-22,2027-04-21,0
OSORIO,RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
ITUACU,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
"SAO JOAO DO MANHUACU",MG,EMR,0.81704,2026-01-01,2026-06-21,0
SAPIRANGA,RS,"RGE SUL",,,,0
"BOM RETIRO DO SUL",RS,"RGE SUL",,,,1
BILAC,SP,CPFL-PAULISTA,0.73945,2026-04-08,2027-04-07,1
BIRIGUI,SP,CPFL-PAULISTA,0.73945,2026-04-08,2027-04-07,0
PINTADAS,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
IBOTIRAMA,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
CRISTAL,RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
CARAPEBUS,RJ,"ENEL RJ",1.0611,2026-03-15,2027-03-14,0
QUISSAMA,RJ,"ENEL RJ",1.0611,2026-03-15,2027-03-14,0
JAGUARAO,RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
"CARDEAL DA SILVA",BA,COELBA,0.87773,2026-04-22,2027-04-21,0
ITAPARICA,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
"CONTENDAS DO SINCORA",BA,COELBA,0.87773,2026-04-22,2027-04-21,0
"RIO GRANDE",RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
HERCULANDIA,SP,CPFL-PAULISTA,0.73945,2026-04-08,2027-04-07,0
ORIENTE,SP,CPFL-PAULISTA,0.73945,2026-04-08,2027-04-07,0
POMPEIA,SP,CPFL-PAULISTA,0.73945,2026-04-08,2027-04-07,0
QUEIROZ,SP,CPFL-PAULISTA,0.73945,2026-04-08,2027-04-07,0
QUINTANA,SP,CPFL-PAULISTA,0.73945,2026-04-08,2027-04-07,0
"SANTO ANTONIO DAS MISSOES",RS,"RGE SUL",,,,1
"POCOS DE CALDAS",MG,DMED,0.61757,2026-01-01,2026-11-17,0
PELOTAS,RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
ARGIRITA,MG,EMR,0.81704,2026-01-01,2026-06-21,0
"SENADOR CORTES",MG,EMR,0.81704,2026-01-01,2026-06-21,1
IBIRAPITANGA,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
SAQUAREMA,RJ,"ENEL RJ",1.0611,2026-03-15,2027-03-14,0
SIDEROPOLIS,SC,CERTREL,1.12729,2026-01-01,2026-09-29,1
RECREIO,MG,EMR,0.81704,2026-01-01,2026-06-21,0
"MADRE DE DEUS",BA,COELBA,0.87773,2026-04-22,2027-04-21,0
CARIRIACU,CE,"ENEL CE",0.74977,2026-04-22,2027-04-21,0
"JUAZEIRO DO NORTE",CE,"ENEL CE",0.74977,2026-04-22,2027-04-21,0
"SANTANA DA BOA VISTA",RS,"RGE SUL",,,,0
JUSSIAPE,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
"LIVRAMENTO DE NOSSA SENHORA",BA,COELBA,0.87773,2026-04-22,2027-04-21,0
"CACAPAVA DO SUL",RS,"RGE SUL",,,,0
"SAO DOMINGOS DO NORTE",ES,ELFSM,0.74537,2026-01-01,2026-09-21,0
REMANSO,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
CANGUCU,RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
BOFETE,SP,CPFL-PAULISTA,0.73945,2026-04-08,2027-04-07,0
BOTUCATU,SP,CPFL-PAULISTA,0.73945,2026-04-08,2027-04-07,0
ITATINGA,SP,CPFL-PAULISTA,0.73945,2026-04-08,2027-04-07,1
PARDINHO,SP,CPFL-PAULISTA,0.73945,2026-04-08,2027-04-07,0
"BUENO BRANDAO",MG,EEB,,,,0
"BOM JESUS DO ITABAPOANA",RJ,"ENEL RJ",1.0611,2026-03-15,2027-03-14,0
"CAMPOS DOS GOYTACAZES",RJ,"ENEL RJ",1.0611,2026-03-15,2027-03-14,0
"CARDOSO MOREIRA",RJ,"ENEL RJ",1.0611,2026-03-15,2027-03-14,0
ITALVA,RJ,"ENEL RJ",1.0611,2026-03-15,2027-03-14,0
"SAO FRANCISCO DE ITABAPOANA",RJ,"ENEL RJ",1.0611,2026-03-15,2027-03-14,0
"VILA VALERIO",ES,"EDP ES",0.78931,2026-01-01,2026-08-06,1
ITATIM,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
CARAA,RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
"BARRA DO CHOCA",BA,COELBA,0.87773,2026-04-22,2027-04-21,0
BANZAE,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
"ANGRA DOS REIS",RJ,"ENEL RJ",1.0611,2026-03-15,2027-03-14,1
MANGARATIBA,RJ,"ENEL RJ",1.0611,2026-03-15,2027-03-14,1
"ROSARIO DA LIMEIRA",MG,EMR,0.81704,2026-01-01,2026-06-21,0
BAGE,RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
"SANTA BRIGIDA",BA,COELBA,0.87773,2026-04-22,2027-04-21,0
BUTIA,RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
CACEQUI,RS,"RGE SUL",,,,0
MATIPO,MG,EMR,0.81704,2026-01-01,2026-06-21,0
"SANTA MARGARIDA",MG,EMR,0.81704,2026-01-01,2026-06-21,0
SERICITA,MG,EMR,0.81704,2026-01-01,2026-06-21,0
"SANTO ANTONIO DA PATRULHA",RS,CEEE-D,0.822,2026-01-01,2026-11-21,1
URUGUAIANA,RS,"RGE SUL",,,,0
"CORACAO DE MARIA",BA,COELBA,0.87773,2026-04-22,2027-04-21,0
ITACARE,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
XANXERE,SC,DCELT,0.68354,2026-01-01,2026-08-28,0
JAGUARI,RS,"RGE SUL",,,,0
CANDIOTA,RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
QUIJINGUE,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
GONGOGI,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
CANAPOLIS,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
GUARANI,MG,EMR,0.81704,2026-01-01,2026-06-21,0
"MONTE SANTO",BA,COELBA,0.87773,2026-04-22,2027-04-21,0
OROS,CE,"ENEL CE",0.74977,2026-04-22,2027-04-21,0
"SANTA BARBARA",BA,COELBA,0.87773,2026-04-22,2027-04-21,0
BOQUIRA,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
IBIASSUCE,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
ESTEIO,RS,"RGE SUL",,,,0
CAJURI,MG,EMR,0.81704,2026-01-01,2026-06-21,0
"PEDRA DO ANTA",MG,EMR,0.81704,2026-01-01,2026-06-21,0
"SAO MIGUEL DO ANTA",MG,EMR,0.81704,2026-01-01,2026-06-21,0
VICOSA,MG,CEMIG-D,0.90329,2026-05-28,2027-05-27,1
"PORTO SEGURO",BA,COELBA,0.87773,2026-04-22,2027-04-21,0
IBICUITINGA,CE,"ENEL CE",0.74977,2026-04-22,2027-04-21,0
"MORADA NOVA",CE,"ENEL CE",0.74977,2026-04-22,2027-04-21,0
"ARROIO DO TIGRE",RS,"RGE SUL",,,,0
"SENHOR DO BONFIM",BA,COELBA,0.87773,2026-04-22,2027-04-21,0
"MUNIZ FERREIRA",BA,COELBA,0.87773,2026-04-22,2027-04-21,0
JAGUARIUNA,SP,"CPFL JAGUARI",,,,0
CANAVIEIRAS,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
"CONCEICAO DO COITE",BA,COELBA,0.87773,2026-04-22,2027-04-21,0
"CERRO GRANDE DO SUL",RS,CEEE-D,0.822,2026-01-01,2026-11-21,1
MORPARA,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
"CONCEICAO DO ALMEIDA",BA,COELBA,0.87773,2026-04-22,2027-04-21,0
"CACHOEIRA DO SUL",RS,"RGE SUL",,,,0
BELMONTE,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
"BRAGANCA PAULISTA",SP,EEB,,,,0
MUCURI,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
AMONTADA,CE,"ENEL CE",0.74977,2026-04-22,2027-04-21,0
ITAPIPOCA,CE,"ENEL CE",0.74977,2026-04-22,2027-04-21,0
MARICA,RJ,"ENEL RJ",1.0611,2026-03-15,2027-03-14,0
MIRAI,MG,EMR,0.81704,2026-01-01,2026-06-21,0
"SAO SEBASTIAO DA VARGEM ALEGRE",MG,EMR,0.81704,2026-01-01,2026-06-21,0
"DOM BASILIO",BA,COELBA,0.87773,2026-04-22,2027-04-21,0
VALENCA,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
"SAO SEPE",RS,"RGE SUL",,,,0
RETIROLANDIA,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
AMARGOSA,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
ITANAGRA,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
"GENTIO DO OURO",BA,COELBA,0.87773,2026-04-22,2027-04-21,0
ARACATI,CE,"ENEL CE",0.74977,2026-04-22,2027-04-21,0
BEBERIBE,CE,"ENEL CE",0.74977,2026-04-22,2027-04-21,0
FORTIM,CE,"ENEL CE",0.74977,2026-04-22,2027-04-21,0
ITAICABA,CE,"ENEL CE",0.74977,2026-04-22,2027-04-21,0
"EUCLIDES DA CUNHA",BA,COELBA,0.87773,2026-04-22,2027-04-21,0
TAPES,RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
TANHACU,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
"SAO FELIPE",BA,COELBA,0.87773,2026-04-22,2027-04-21,0
"AMERICO BRASILIENSE",SP,CPFL-PAULISTA,0.73945,2026-04-08,2027-04-07,0
ARARAQUARA,SP,CPFL-PAULISTA,0.73945,2026-04-08,2027-04-07,0
MILAGRES,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
"DOM PEDRO DE ALCANTARA",RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
ARACATUBA,SP,CPFL-PAULISTA,0.73945,2026-04-08,2027-04-07,0
"SANTO ANTONIO DO ARACANGUA",SP,CPFL-PAULISTA,0.73945,2026-04-08,2027-04-07,0
MURIAE,MG,EMR,0.81704,2026-01-01,2026-06-21,0
"FAXINAL DO SOTURNO",RS,UHENPAL,0.73436,2026-01-01,2026-07-21,1
QUEIMADAS,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
POCOES,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
"OURO PRETO DO OESTE",RO,ERO,0.84139,2026-01-01,2026-12-12,0
"GOVERNADOR JORGE TEIXEIRA",RO,ERO,0.84139,2026-01-01,2026-12-12,0
"MIRANTE DA SERRA",RO,ERO,0.84139,2026-01-01,2026-12-12,0
"NOVA UNIAO",RO,ERO,0.84139,2026-01-01,2026-12-12,0
THEOBROMA,RO,ERO,0.84139,2026-01-01,2026-12-12,0
"VALE DO ANARI",RO,ERO,0.84139,2026-01-01,2026-12-12,0
"VALE DO PARAISO",RO,ERO,0.84139,2026-01-01,2026-12-12,0
ALVORADA,RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
PIRATINI,RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
"VISCONDE DO RIO BRANCO",MG,EMR,0.81704,2026-01-01,2026-06-21,0
"SAO BORJA",RS,"RGE SUL",,,,0
"PILAO ARCADO",BA,COELBA,0.87773,2026-04-22,2027-04-21,0
"ALTO JEQUITIBA",MG,EMR,0.81704,2026-01-01,2026-06-21,0
MACAMBARA,RS,"RGE SUL",,,,0
TOCANTINS,MG,EMR,0.81704,2026-01-01,2026-06-21,0
"GOVERNADOR MANGABEIRA",BA,COELBA,0.87773,2026-04-22,2027-04-21,0
SOBRADINHO,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
MACAPA,AP,CEA,0.82515,2026-01-01,2026-12-12,0
"ARROIO DO MEIO",RS,"RGE SUL",,,,1
"BARAO DO TRIUNFO",RS,CEEE-D,0.822,2026-01-01,2026-11-21,1
"PAULA CANDIDO",MG,EMR,0.81704,2026-01-01,2026-06-21,0
"SAO GERALDO",MG,EMR,0.81704,2026-01-01,2026-06-21,0
COLATINA,ES,ELFSM,0.74537,2026-01-01,2026-09-21,1
MIRADOURO,MG,EMR,0.81704,2026-01-01,2026-06-21,0
MACARANI,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
MACAJUBA,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
"PIRAI DO NORTE",BA,COELBA,0.87773,2026-04-22,2027-04-21,0
"SANTA TERESA",ES,"EDP ES",0.78931,2026-01-01,2026-08-06,1
"SAO ROQUE DO CANAA",ES,ELFSM,0.74537,2026-01-01,2026-09-21,1
"RESTINGA SECA",RS,UHENPAL,0.73436,2026-01-01,2026-07-21,1
ARACI,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
JABORANDI,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
CAPUTIRA,MG,EMR,0.81704,2026-01-01,2026-06-21,0
MANHUACU,MG,EMR,0.81704,2026-01-01,2026-06-21,0
"TRAJANO DE MORAES",RJ,"ENEL RJ",1.0611,2026-03-15,2027-03-14,0
"RIO POMBA",MG,EMR,0.81704,2026-01-01,2026-06-21,0
SILVERANIA,MG,EMR,0.81704,2026-01-01,2026-06-21,0
SANTIAGO,RS,"RGE SUL",,,,0
"BALNEARIO PINHAL",RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
ALTOS,PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
"SALINAS DA MARGARIDA",BA,COELBA,0.87773,2026-04-22,2027-04-21,0
"CRUZEIRO DO SUL",RS,"RGE SUL",,,,1
"ENCRUZILHADA DO SUL",RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
SIMONESIA,MG,EMR,0.81704,2026-01-01,2026-06-21,0
CHARQUEADAS,RS,CEEE-D,0.822,2026-01-01,2026-11-21,0
"MARTINS SOARES",MG,EMR,0.81704,2026-01-01,2026-06-21,0
REDUTO,MG,EMR,0.81704,2026-01-01,2026-06-21,0
PIRAPETINGA,MG,EMR,0.81704,2026-01-01,2026-06-21,1
VALENTE,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
"SAO SEBASTIAO DO CAI",RS,"RGE SUL",,,,0
"CACHOEIRAS DE MACACU",RJ,"ENEL RJ",1.0611,2026-03-15,2027-03-14,0
ICO,CE,"ENEL CE",0.74977,2026-04-22,2027-04-21,0
"CORONEL VIVIDA",PR,COPEL-DIS,0.64242,2026-01-01,2026-06-23,1
CANARANA,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
APORA,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
DURANDE,MG,EMR,0.81704,2026-01-01,2026-06-21,0
EUNAPOLIS,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
"AGUIA BRANCA",ES,ELFSM,0.74537,2026-01-01,2026-09-21,1
PANCAS,ES,ELFSM,0.74537,2026-01-01,2026-09-21,1
BORBOREMA,SP,CNEE,,,,1
"SAO FRANCISCO DO CONDE",BA,COELBA,0.87773,2026-04-22,2027-04-21,0
MARAU,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
TANQUINHO,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
TUCANO,BA,COELBA,0.87773,2026-04-22,2027-04-21,0
GUARUJA,SP,ELEKTRO,0.79605,2026-01-01,2026-08-26,1
